sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
180-230129,130847765.77319588,114660109.63573883,145442697.8969072,PMMoV33327
180-230131,244010460.44444448,217842566.88172045,268476173.0752688,PMMoV33328
180-230202,198665955.21146956,152246049.94982082,244141784.43010753,PMMoV33329
180-230205,113886700.2828283,107656613.74276094,120119859.07070708,PMMoV33330
180-230208,477527304.2352941,452457712.2352941,501708715.1372548,PMMoV33331
180-230209,108630269.3818182,69869685.31393941,151375140.5575758,PMMoV33332
180-230214,239226264.84388188,225156811.47679323,254233135.79746836,PMMoV33333
180-230216,232307152.34532368,224745159.90407673,239875511.7122302,PMMoV33334
180-230219,439828846.0155039,408223044.21705425,471671644.1550388,PMMoV33335
180-230221,152688224.72934476,145492788.42165244,159888495.22507122,PMMoV33336
180-230223,86203397.21,81347593.16,91061645.80878551,PMMoV33337
180-230226,77908549.94108526,65721313.71162791,90019155.10077521,PMMoV33338
180-230228,243433222.05405408,223657858.8828829,263409011.4594595,PMMoV33339
180-230302,116271538.32509364,87211340.28,144273633.6779026,PMMoV33340
180-230305,164239070.3838384,156060318.3838384,172423103.89225593,PMMoV33341
180-230308,147738939.36231884,140142654.23768118,155340523.13043478,PMMoV33342
180-230309,249883361.97938147,239994030.7353952,259780286.02061856,PMMoV33343
180-230312,253090975.57894737,223472300.77192983,281739940.91228074,PMMoV33344
180-230314,141270308.05509645,135034894.28099173,147509463.00826448,PMMoV33345
180-230316,124416362.9455338,119059058.61437912,129777151.23311546,PMMoV33346
180-230319,199783232.6926407,190304631.5497836,209267342.96103895,PMMoV33347
180-230321,209136415.17948723,198721874.3247863,219557672.47863248,PMMoV33348
180-230323,131680063.07692309,125039486.974359,138324307.1794872,PMMoV33349
180-230326,1008398871.4666666,948162109.1555556,1070562282.6666666,PMMoV33350
180-230328,495463593.5339233,474765689.7699115,524247053.0265487,PMMoV33351
180-230330,236771482.50980392,225851245.96078432,248749153.25490195,PMMoV33352
180-230402,231132058.50980383,220091382.11764705,242179362.03921565,PMMoV33353
180-230404,205930775.6321839,195661768.4597701,215858950.52873567,PMMoV33354
180-230409,262790667.80952385,224075922.92063493,300526040.63492066,PMMoV33355
180-230411,149159760.22695035,110957639.43262412,192677685.9007092,PMMoV33356
180-230413,293819934.0921409,270836674.51490515,317879264.86720866,PMMoV33357
180-230416,229157756.24691355,187110354.56790125,267908524.83950615,PMMoV33358
180-230418,300308460.6666666,250490125.1111111,348260052.8888889,PMMoV33359
180-230420,248901916.10582015,236943950.39153436,260867051.1746032,PMMoV33360
180-230423,151575684.07017547,143882363.36842108,159272605.4736842,PMMoV33361
180-230425,104469707.22640264,94738034.29174916,115051199.04950497,PMMoV33362
180-230427,226874314.66666663,217168418.47017545,236587320.9263158,PMMoV33363
180-230430,232934739.8888889,212818357.66666663,251147588.11111113,PMMoV33364
180-230502,197717234.31111112,186305101.1555556,209135606.57777777,PMMoV33365
180-230504,174427857.43089432,157374585.1490515,190064005.9,PMMoV33366
180-230507,227970210.0078431,218108149.45882353,237838828.92549017,PMMoV33367
180-230509,94005623.0429224,48679135.810045674,140584351.70776257,PMMoV33368
