state_name,county_name,year,median_age,average_household_income,per_capita_income
 Alaska,Nome Census Area,2022,29.1,70121.0,28678.0
 Alaska,North Slope Borough,2022,36.3,83472.0,61841.0
 Alaska,Northwest Arctic Borough,2022,29.2,77647.0,32133.0
 Alaska,Petersburg Borough,2022,50.1,77826.0,37856.0
 Alaska,Prince of Wales-Hyder Census Area,2022,43.1,61779.0,34433.0
 Alaska,Sitka City and Borough,2022,39.5,95261.0,43964.0
 Alaska,Skagway Municipality,2022,38.6,79583.0,46771.0
 Alaska,Southeast Fairbanks Census Area,2022,36.9,75378.0,33809.0
 Alaska,Wrangell City and Borough,2022,48.9,61000.0,35421.0
 Alaska,Yakutat City and Borough,2022,41.3,76875.0,45578.0
 Alaska,Yukon-Koyukuk Census Area,2022,35.8,47826.0,29382.0
 Arizona,Apache County,2020,35.4,33967.0,15781.0
 Arizona,Cochise County,2020,41.0,51505.0,28021.0
 Arizona,Coconino County,2020,31.0,59000.0,27631.0
 Arizona,Gila County,2020,50.4,46907.0,26265.0
 Arizona,Graham County,2020,33.7,55693.0,19878.0
 Arizona,Greenlee County,2020,35.7,66368.0,27618.0
 Arizona,La Paz County,2020,57.4,34956.0,24039.0
 Arizona,Maricopa County,2020,36.6,67799.0,35090.0
 Arizona,Mohave County,2020,52.3,47686.0,27968.0
 Arizona,Navajo County,2020,38.2,43140.0,19623.0
 Arizona,Pima County,2020,38.7,55023.0,30747.0
 Arizona,Pinal County,2020,39.8,60968.0,27354.0
 Arizona,Santa Cruz County,2020,37.2,41424.0,21686.0
 Arizona,Yavapai County,2020,54.1,53329.0,31779.0
 Arizona,Yuma County,2020,34.8,48790.0,23507.0
 Arizona,Apache County,2021,35.5,34788.0,16888.0
 Arizona,Cochise County,2021,41.2,55077.0,29494.0
 Arizona,Coconino County,2021,31.5,61888.0,30218.0
 Arizona,Gila County,2021,50.3,51406.0,27797.0
 Arizona,Graham County,2021,33.8,57105.0,20741.0
 Arizona,Greenlee County,2021,35.9,67723.0,27407.0
 Arizona,La Paz County,2021,57.1,39732.0,26165.0
 Arizona,Maricopa County,2021,36.9,72944.0,37570.0
 Arizona,Mohave County,2021,52.3,49738.0,29657.0
 Arizona,Navajo County,2021,38.3,46126.0,20858.0
 Arizona,Pima County,2021,38.9,59215.0,33016.0
 Arizona,Pinal County,2021,39.8,65488.0,29284.0
 Arizona,Santa Cruz County,2021,37.2,45089.0,22985.0
 Arizona,Yavapai County,2021,54.2,56170.0,33588.0
 Arizona,Yuma County,2021,34.8,52563.0,25057.0
 Arizona,Apache County,2022,35.6,37483.0,18930.0
 Arizona,Cochise County,2022,41.4,58421.0,31423.0
 Arizona,Coconino County,2022,31.7,67266.0,32592.0
 Arizona,Gila County,2022,50.6,55242.0,29945.0
 Arizona,Graham County,2022,34.1,64089.0,24052.0
 Arizona,Greenlee County,2022,35.5,73756.0,29394.0
 Arizona,La Paz County,2022,57.3,46634.0,30399.0
 Arizona,Maricopa County,2022,37.1,80675.0,41533.0
 Arizona,Mohave County,2022,52.9,53592.0,32835.0
 Arizona,Navajo County,2022,38.7,50335.0,22826.0
 Arizona,Pima County,2022,39.0,64323.0,36494.0
 Arizona,Pinal County,2022,39.8,73313.0,33158.0
 Arizona,Santa Cruz County,2022,37.3,51885.0,25619.0
 Arizona,Yavapai County,2022,54.5,62430.0,37666.0
 Arizona,Yuma County,2022,35.3,56439.0,27516.0
 Arkansas,Ashley County,2020,42.3,43601.0,23138.0
 Arkansas,Baxter County,2020,52.3,43504.0,27695.0
 Arkansas,Boone County,2020,42.9,46392.0,24749.0
 Arkansas,Calhoun County,2020,45.3,50441.0,24823.0
 Arkansas,Carroll County,2020,44.8,48249.0,26445.0
 Arkansas,Clark County,2020,32.6,39500.0,21708.0
 Arkansas,Clay County,2020,42.7,37933.0,22935.0
 Arkansas,Cleveland County,2020,42.5,46349.0,23998.0
 Arkansas,Columbia County,2020,35.5,37609.0,23217.0
 Arkansas,Craighead County,2020,34.4,49730.0,28407.0
 Arkansas,Crittenden County,2020,35.3,42384.0,24161.0
 Arkansas,Cross County,2020,40.7,44379.0,25205.0
 Arkansas,Desha County,2020,40.8,31855.0,19090.0
 Arkansas,Drew County,2020,37.3,42924.0,26440.0
 Arkansas,Franklin County,2020,41.8,37561.0,20639.0
 Arkansas,Fulton County,2020,48.7,35274.0,20564.0
 Arkansas,Grant County,2020,40.1,59051.0,30639.0
 Arkansas,Hempstead County,2020,40.8,45484.0,22178.0
 Arkansas,Hot Spring County,2020,40.9,46390.0,23498.0
 Arkansas,Independence County,2020,39.4,48972.0,25046.0
 Arkansas,Izard County,2020,48.0,42818.0,21189.0
 Arkansas,Jefferson County,2020,39.5,40402.0,21941.0
 Arkansas,Johnson County,2020,38.4,39346.0,22077.0
 Arkansas,Lawrence County,2020,40.4,40587.0,22113.0
 Arkansas,Lincoln County,2020,38.7,46554.0,14182.0
 Arkansas,Little River County,2020,42.8,48966.0,27057.0
 Arkansas,Lonoke County,2020,36.7,59278.0,28446.0
 Arkansas,Madison County,2020,41.0,41446.0,22733.0
 Arkansas,Miller County,2020,39.7,45391.0,23828.0
 Arkansas,Monroe County,2020,46.0,38438.0,24610.0
 Arkansas,Montgomery County,2020,50.6,41165.0,22892.0
 Arkansas,Nevada County,2020,44.6,39946.0,19443.0
 Arkansas,Newton County,2020,49.1,39542.0,20768.0
 Arkansas,Ouachita County,2020,44.4,38279.0,21338.0
 Arkansas,Perry County,2020,44.0,44926.0,23030.0
 Arkansas,Phillips County,2020,39.5,33724.0,20379.0
 Arkansas,Pike County,2020,43.7,42983.0,24642.0
 Arkansas,Poinsett County,2020,39.9,40700.0,21154.0
 Arkansas,Polk County,2020,44.4,39084.0,24691.0
 Arkansas,Pope County,2020,35.6,46004.0,25546.0
 Arkansas,Prairie County,2020,46.0,42754.0,26955.0
 Arkansas,Pulaski County,2020,37.4,52930.0,33773.0
 Arkansas,Randolph County,2020,40.0,42844.0,23534.0
 Arkansas,St. Francis County,2020,38.7,36053.0,19743.0
 Arkansas,Saline County,2020,39.6,66876.0,31973.0
 Arkansas,Scott County,2020,41.2,42635.0,21026.0
 Arkansas,Searcy County,2020,48.4,35077.0,19761.0
 Arkansas,Sebastian County,2020,37.9,47878.0,28623.0
 Arkansas,Sevier County,2020,35.2,47872.0,23423.0
 Arkansas,Sharp County,2020,47.9,35573.0,21644.0
 Arkansas,Stone County,2020,50.0,36067.0,20462.0
 Arkansas,Union County,2020,41.3,45293.0,27129.0
 Arkansas,Washington County,2020,32.2,52380.0,29419.0
 Arkansas,White County,2020,37.1,44000.0,23801.0
 Arkansas,Yell County,2020,40.0,47981.0,23008.0
 Arkansas,Arkansas County,2020,41.0,51000.0,26969.0
 Arkansas,Benton County,2020,35.5,71556.0,36597.0
 Arkansas,Bradley County,2020,40.3,41808.0,22912.0
 Arkansas,Chicot County,2020,43.4,33523.0,21418.0
 Arkansas,Cleburne County,2020,49.5,45563.0,27490.0
 Arkansas,Conway County,2020,42.7,44456.0,26539.0
 Arkansas,Crawford County,2020,39.2,48980.0,25460.0
 Arkansas,Dallas County,2020,45.1,35134.0,21229.0
 Arkansas,Faulkner County,2020,33.3,54191.0,27414.0
 Arkansas,Garland County,2020,45.1,48150.0,27274.0
 Arkansas,Greene County,2020,37.7,50083.0,23978.0
 Arkansas,Howard County,2020,39.6,38038.0,23297.0
