state_name,state_abbr,county_name,state_fips,county_fips
 Arkansas,AR,Bradley County,05,011
 Arkansas,AR,Chicot County,05,017
 Arkansas,AR,Cleburne County,05,023
 Arkansas,AR,Conway County,05,029
 Arkansas,AR,Crawford County,05,033
 Arkansas,AR,Dallas County,05,039
 Arkansas,AR,Faulkner County,05,045
 Arkansas,AR,Garland County,05,051
 Arkansas,AR,Greene County,05,055
 Arkansas,AR,Howard County,05,061
 Arkansas,AR,Jackson County,05,067
 Arkansas,AR,Lafayette County,05,073
 Arkansas,AR,Lee County,05,077
 Arkansas,AR,Logan County,05,083
 Arkansas,AR,Marion County,05,089
 Arkansas,AR,Mississippi County,05,093
 Arkansas,AR,Van Buren County,05,141
 Arkansas,AR,Woodruff County,05,147
 Arkansas,AR,Arkansas County,05,001
 Arkansas,AR,Ashley County,05,003
 Arkansas,AR,Baxter County,05,005
 Arkansas,AR,Benton County,05,007
 Arkansas,AR,Boone County,05,009
 Arkansas,AR,Bradley County,05,011
 Arkansas,AR,Calhoun County,05,013
 Arkansas,AR,Carroll County,05,015
 Arkansas,AR,Chicot County,05,017
 Arkansas,AR,Clark County,05,019
 Arkansas,AR,Clay County,05,021
 Arkansas,AR,Cleburne County,05,023
 Arkansas,AR,Cleveland County,05,025
 Arkansas,AR,Columbia County,05,027
 Arkansas,AR,Conway County,05,029
 Arkansas,AR,Craighead County,05,031
 Arkansas,AR,Crawford County,05,033
 Arkansas,AR,Crittenden County,05,035
 Arkansas,AR,Cross County,05,037
 Arkansas,AR,Dallas County,05,039
 Arkansas,AR,Desha County,05,041
 Arkansas,AR,Drew County,05,043
 Arkansas,AR,Faulkner County,05,045
 Arkansas,AR,Franklin County,05,047
 Arkansas,AR,Fulton County,05,049
 Arkansas,AR,Garland County,05,051
 Arkansas,AR,Grant County,05,053
 Arkansas,AR,Greene County,05,055
 Arkansas,AR,Hempstead County,05,057
 Arkansas,AR,Hot Spring County,05,059
 Arkansas,AR,Howard County,05,061
 Arkansas,AR,Independence County,05,063
 Arkansas,AR,Izard County,05,065
 Arkansas,AR,Jackson County,05,067
 Arkansas,AR,Jefferson County,05,069
 Arkansas,AR,Johnson County,05,071
 Arkansas,AR,Lafayette County,05,073
 Arkansas,AR,Lawrence County,05,075
 Arkansas,AR,Lee County,05,077
 Arkansas,AR,Lincoln County,05,079
 Arkansas,AR,Little River County,05,081
 Arkansas,AR,Logan County,05,083
 Arkansas,AR,Lonoke County,05,085
 Arkansas,AR,Madison County,05,087
 Arkansas,AR,Marion County,05,089
 Arkansas,AR,Miller County,05,091
 Arkansas,AR,Mississippi County,05,093
 Arkansas,AR,Monroe County,05,095
 Arkansas,AR,Montgomery County,05,097
 Arkansas,AR,Nevada County,05,099
 Arkansas,AR,Newton County,05,101
 Arkansas,AR,Ouachita County,05,103
 Arkansas,AR,Perry County,05,105
 Arkansas,AR,Phillips County,05,107
 Arkansas,AR,Pike County,05,109
 Arkansas,AR,Poinsett County,05,111
 Arkansas,AR,Polk County,05,113
 Arkansas,AR,Pope County,05,115
 Arkansas,AR,Prairie County,05,117
 Arkansas,AR,Pulaski County,05,119
 Arkansas,AR,Randolph County,05,121
 Arkansas,AR,St. Francis County,05,123
 Arkansas,AR,Saline County,05,125
 Arkansas,AR,Scott County,05,127
 Arkansas,AR,Searcy County,05,129
 Arkansas,AR,Sebastian County,05,131
